Year,Sector ID,Sector,GDP
2004,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",81433.61001
2005,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",73639.68701
2005,21,Minería,175499.3284
2005,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",43673.45953
2005,23,Construcción,155227.6994
2005,31-33,Industrias manufactureras,451914.4963
2005,43,Comercio al por mayor,198896.7364
2005,46,Comercio al por menor,220276.8543
2005,48-49,"Transportes, correos y almacenamiento",158420.3505
2005,51,Información en medios masivos,50192.62653
2005,52,Servicios financieros y de seguros,70279.08546
2005,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,267965.9626
2005,54,"Servicios profesionales, científicos y técnicos",56675.52696
2005,55,Dirección y administración de grupos empresariales o corporativos,11780.8515
2005,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",90143.43292
2005,61,Servicios educativos,95383.139
2005,62,Servicios de salud y de asistencia social,50621.37806
2005,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",13370.96223
2005,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,74496.60903
2005,81,Otros servicios excepto actividades gubernamentales,55134.90302
2005,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",87454.28994
2006,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",81818.50554
2006,21,Minería,200842.5108
2006,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",47247.93228
2006,23,Construcción,179676.5433
2006,31-33,Industrias manufactureras,528188.2582
2006,43,Comercio al por mayor,220728.3159
2006,46,Comercio al por menor,237604.4011
2006,48-49,"Transportes, correos y almacenamiento",176731.6062
2006,51,Información en medios masivos,58360.78567
2006,52,Servicios financieros y de seguros,76038.01185
2006,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,293296.9601
2006,54,"Servicios profesionales, científicos y técnicos",60450.58847
2006,55,Dirección y administración de grupos empresariales o corporativos,13947.88621
2006,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",97698.16452
2006,61,Servicios educativos,103962.6057
2006,62,Servicios de salud y de asistencia social,54696.76555
2006,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",14977.7065
2006,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,77807.69152
2006,81,Otros servicios excepto actividades gubernamentales,59965.70644
2006,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",95871.44821
2007,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",91615.41865
2007,21,Minería,227919.9446
2007,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",51425.58476
2007,23,Construcción,195372.8961
2007,31-33,Industrias manufactureras,550011.6845
2007,43,Comercio al por mayor,240471.1071
2007,46,Comercio al por menor,257920.8504
2007,48-49,"Transportes, correos y almacenamiento",189403.322
2007,51,Información en medios masivos,69512.05223
2007,52,Servicios financieros y de seguros,89550.66419
2007,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,314709.4305
2007,54,"Servicios profesionales, científicos y técnicos",65188.64982
2007,55,Dirección y administración de grupos empresariales o corporativos,14273.1707
2007,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",104972.8225
2007,61,Servicios educativos,112431.5675
2007,62,Servicios de salud y de asistencia social,59203.22911
2007,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",16548.95501
2007,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,82227.073
2007,81,Otros servicios excepto actividades gubernamentales,64847.12297
2007,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",104822.6481
2008,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",97890.11945
2008,21,Minería,263180.0865
2008,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",57451.26218
2008,23,Construcción,218249.8998
2008,31-33,Industrias manufactureras,587408.9055
2008,43,Comercio al por mayor,264277.8606
2008,46,Comercio al por menor,279574.3752
2008,48-49,"Transportes, correos y almacenamiento",198918.4619
2008,51,Información en medios masivos,73986.87978
2008,52,Servicios financieros y de seguros,97882.93916
2008,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,341401.5153
2008,54,"Servicios profesionales, científicos y técnicos",70259.22877
2008,55,Dirección y administración de grupos empresariales o corporativos,16975.73682
2008,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",113105.07
2008,61,Servicios educativos,122470.7333
2008,62,Servicios de salud y de asistencia social,65939.94773
2008,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",17341.15907
2008,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,83538.30934
2008,81,Otros servicios excepto actividades gubernamentales,68673.04982
2008,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",114569.5961
2009,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",98825.87178
2009,21,Minería,195643.7376
2009,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",60197.94412
2009,23,Construcción,208418.9927
2009,31-33,Industrias manufactureras,555647.5383
2009,43,Comercio al por mayor,256308.1328
2009,46,Comercio al por menor,264338.7912
2009,48-49,"Transportes, correos y almacenamiento",195912.4327
2009,51,Información en medios masivos,77829.64276
2009,52,Servicios financieros y de seguros,103104.1801
2009,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,352206.7633
2009,54,"Servicios profesionales, científicos y técnicos",69544.35179
2009,55,Dirección y administración de grupos empresariales o corporativos,16110.56153
2009,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",112447.9457
2009,61,Servicios educativos,129347.9371
2009,62,Servicios de salud y de asistencia social,70174.76738
2009,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",17672.36486
2009,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,78434.09902
2009,81,Otros servicios excepto actividades gubernamentales,71048.93685
2009,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",128065.7431
2010,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",107977.2379
2010,21,Minería,239082.4737
2010,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",58314.01877
2010,23,Construcción,215987.5326
2010,31-33,Industrias manufactureras,622925.1518
2010,43,Comercio al por mayor,287481.9101
2010,46,Comercio al por menor,299778.9788
2010,48-49,"Transportes, correos y almacenamiento",226646.1619
2010,51,Información en medios masivos,81455.12909
2010,52,Servicios financieros y de seguros,109767.6692
2010,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,373607.302
2010,54,"Servicios profesionales, científicos y técnicos",70549.81833
2010,55,Dirección y administración de grupos empresariales o corporativos,17064.70075
2010,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",115803.0414
2010,61,Servicios educativos,137021.4411
2010,62,Servicios de salud y de asistencia social,75820.90602
2010,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",19260.78951
2010,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,83067.16839
2010,81,Otros servicios excepto actividades gubernamentales,74888.90201
2010,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",139757.4325
